[START] 'DTD LIVE Table_0921.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0921_mp4_2025-06-27T05:11:09.483Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Score: 201.49 | Status: 선명
Time: 18.00s | Score: 171.20 | Status: 선명
Time: 18.50s | Score: 154.03 | Status: 선명
Time: 19.00s | Score: 172.15 | Status: 선명
Time: 19.50s | Score: 177.52 | Status: 선명
Time: 20.00s | Score: 168.47 | Status: 선명
Time: 20.50s | Score: 164.73 | Status: 선명
Time: 21.00s | Score: 145.84 | Status: 선명
Time: 21.50s | Score: 142.16 | Status: 선명
Time: 22.00s | Score: 149.91 | Status: 선명
Time: 22.50s | Score: 164.53 | Status: 선명
Time: 23.00s | Score: 178.63 | Status: 선명
Time: 23.50s | Score: 187.38 | Status: 선명
Time: 24.00s | Score: 175.18 | Status: 선명
Time: 24.50s | Score: 131.30 | Status: 선명
Time: 25.00s | Score: 151.39 | Status: 선명
Time: 25.50s | Score: 117.74 | Status: 선명
Time: 26.00s | Score: 119.66 | Status: 선명
Time: 26.50s | Score: 482.63 | Status: 선명
Time: 27.00s | Score: 466.98 | Status: 선명
Time: 27.50s | Score: 405.29 | Status: 선명
Time: 28.00s | Score: 473.09 | Status: 선명
Time: 28.50s | Score: 458.64 | Status: 선명
Time: 29.00s | Score: 141.61 | Status: 선명
Time: 29.50s | Score: 143.65 | Status: 선명
Time: 30.00s | Score: 160.60 | Status: 선명
Time: 30.50s | Score: 162.67 | Status: 선명
Time: 31.00s | Score: 185.23 | Status: 선명
Time: 31.50s | Score: 151.74 | Status: 선명
Time: 32.00s | Score: 171.77 | Status: 선명
Time: 32.50s | Score: 107.37 | Status: 선명
Time: 33.00s | Score: 170.45 | Status: 선명
Time: 33.50s | Score: 185.99 | Status: 선명
