[START] 'DTD LIVE Table_0864.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0864_mp4_2025-06-27T03:35:56.121Z)
Time: 0.00s | Score: 196.36 | Status: 선명
Time: 0.50s | Score: 193.10 | Status: 선명
Time: 1.00s | Score: 204.92 | Status: 선명
Time: 1.50s | Score: 241.62 | Status: 선명
Time: 2.00s | Score: 161.40 | Status: 선명
Time: 2.50s | Score: 150.47 | Status: 선명
Time: 3.00s | Score: 158.06 | Status: 선명
Time: 3.50s | Score: 180.14 | Status: 선명
Time: 4.00s | Score: 158.46 | Status: 선명
Time: 4.50s | Score: 166.57 | Status: 선명
Time: 5.00s | Score: 142.30 | Status: 선명
Time: 5.50s | Score: 140.39 | Status: 선명
Time: 6.00s | Score: 149.99 | Status: 선명
Time: 6.50s | Score: 157.95 | Status: 선명
Time: 7.00s | Score: 148.09 | Status: 선명
Time: 7.50s | Score: 168.90 | Status: 선명
Time: 8.00s | Score: 156.52 | Status: 선명
Time: 8.50s | Score: 166.93 | Status: 선명
Time: 9.00s | Score: 162.55 | Status: 선명
Time: 9.50s | Score: 154.35 | Status: 선명
Time: 10.00s | Score: 155.17 | Status: 선명
Time: 10.50s | Score: 197.93 | Status: 선명
Time: 11.00s | Score: 153.99 | Status: 선명
Time: 11.50s | Score: 139.61 | Status: 선명
Time: 12.00s | Score: 179.74 | Status: 선명
Time: 12.50s | Score: 219.36 | Status: 선명
Time: 13.00s | Score: 207.71 | Status: 선명
Time: 13.50s | Score: 240.93 | Status: 선명
Time: 14.00s | Score: 193.37 | Status: 선명
Time: 14.50s | Score: 200.28 | Status: 선명
Time: 15.00s | Score: 198.21 | Status: 선명
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Score: 211.90 | Status: 선명
Time: 16.50s | Status: 얼굴 미검출
Time: 17.00s | Status: 얼굴 미검출
Time: 17.50s | Score: 187.78 | Status: 선명
Time: 18.00s | Score: 117.41 | Status: 선명
Time: 18.50s | Score: 199.22 | Status: 선명
Time: 19.00s | Score: 139.79 | Status: 선명
Time: 19.50s | Score: 149.73 | Status: 선명
