[START] 'DTD LIVE Table_0837.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0837_mp4_2025-06-27T02:53:53.694Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Status: 얼굴 미검출
Time: 8.50s | Status: 얼굴 미검출
Time: 9.00s | Status: 얼굴 미검출
Time: 9.50s | Status: 얼굴 미검출
Time: 10.00s | Status: 얼굴 미검출
Time: 10.50s | Status: 얼굴 미검출
Time: 11.00s | Status: 얼굴 미검출
Time: 11.50s | Status: 얼굴 미검출
Time: 12.00s | Status: 얼굴 미검출
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Status: 얼굴 미검출
Time: 13.50s | Status: 얼굴 미검출
Time: 14.00s | Status: 얼굴 미검출
Time: 14.50s | Status: 얼굴 미검출
Time: 15.00s | Status: 얼굴 미검출
Time: 15.50s | Status: 얼굴 미검출
Time: 16.00s | Status: 얼굴 미검출
Time: 16.50s | Score: 76.14 | Status: 선명
Time: 17.00s | Score: 111.31 | Status: 선명
Time: 17.50s | Score: 105.79 | Status: 선명
Time: 18.00s | Score: 66.57 | Status: 선명
Time: 18.50s | Score: 57.63 | Status: 선명
Time: 19.00s | Score: 112.49 | Status: 선명
Time: 19.50s | Score: 127.62 | Status: 선명
Time: 20.00s | Score: 239.60 | Status: 선명
Time: 20.50s | Score: 287.45 | Status: 선명
Time: 21.00s | Score: 219.52 | Status: 선명
Time: 21.50s | Score: 206.17 | Status: 선명
Time: 22.00s | Score: 224.65 | Status: 선명
Time: 22.50s | Score: 309.68 | Status: 선명
Time: 23.00s | Score: 98.26 | Status: 선명
Time: 23.50s | Score: 107.41 | Status: 선명
Time: 24.00s | Score: 99.88 | Status: 선명
Time: 24.50s | Status: 얼굴 미검출
Time: 25.00s | Score: 289.17 | Status: 선명
Time: 25.50s | Score: 100.85 | Status: 선명
Time: 26.00s | Score: 88.52 | Status: 선명
Time: 26.50s | Score: 74.04 | Status: 선명
Time: 27.00s | Score: 339.11 | Status: 선명
Time: 27.50s | Score: 317.97 | Status: 선명
Time: 28.00s | Score: 341.56 | Status: 선명
Time: 28.50s | Score: 258.20 | Status: 선명
Time: 29.00s | Score: 151.14 | Status: 선명
Time: 29.50s | Score: 138.39 | Status: 선명
Time: 30.00s | Score: 128.40 | Status: 선명
Time: 30.50s | Score: 140.88 | Status: 선명
Time: 31.00s | Score: 120.14 | Status: 선명
Time: 31.50s | Score: 125.20 | Status: 선명
Time: 32.00s | Score: 124.08 | Status: 선명
Time: 32.50s | Score: 126.67 | Status: 선명
Time: 33.00s | Score: 132.25 | Status: 선명
Time: 33.50s | Score: 153.75 | Status: 선명
Time: 34.00s | Score: 174.08 | Status: 선명
Time: 34.50s | Score: 184.80 | Status: 선명
Time: 35.00s | Score: 210.29 | Status: 선명
Time: 35.50s | Score: 193.52 | Status: 선명
Time: 36.00s | Score: 194.00 | Status: 선명
Time: 36.50s | Status: 얼굴 미검출
Time: 37.00s | Score: 189.94 | Status: 선명
Time: 37.50s | Score: 201.95 | Status: 선명
Time: 38.00s | Score: 214.28 | Status: 선명
Time: 38.50s | Score: 120.31 | Status: 선명
Time: 39.00s | Score: 155.31 | Status: 선명
Time: 39.50s | Score: 207.83 | Status: 선명
Time: 40.00s | Status: 얼굴 미검출
Time: 40.50s | Score: 169.23 | Status: 선명
Time: 41.00s | Status: 얼굴 미검출
Time: 41.50s | Status: 얼굴 미검출
Time: 42.00s | Score: 155.28 | Status: 선명
Time: 42.50s | Status: 얼굴 미검출
Time: 43.00s | Status: 얼굴 미검출
Time: 43.50s | Status: 얼굴 미검출
Time: 44.00s | Score: 173.30 | Status: 선명
Time: 44.50s | Score: 136.00 | Status: 선명
Time: 45.00s | Score: 164.51 | Status: 선명
Time: 45.50s | Score: 153.55 | Status: 선명
Time: 46.00s | Score: 151.56 | Status: 선명
Time: 46.50s | Score: 162.88 | Status: 선명
Time: 47.00s | Score: 173.70 | Status: 선명
Time: 47.50s | Score: 173.34 | Status: 선명
Time: 48.00s | Score: 175.98 | Status: 선명
Time: 48.50s | Score: 137.59 | Status: 선명
Time: 49.00s | Score: 150.99 | Status: 선명
Time: 49.50s | Score: 129.48 | Status: 선명
Time: 50.00s | Score: 133.16 | Status: 선명
Time: 50.50s | Score: 139.18 | Status: 선명
Time: 51.00s | Score: 148.82 | Status: 선명
Time: 51.50s | Score: 142.63 | Status: 선명
Time: 52.00s | Score: 161.17 | Status: 선명
Time: 52.50s | Score: 124.52 | Status: 선명
Time: 53.00s | Score: 134.07 | Status: 선명
Time: 53.50s | Score: 124.68 | Status: 선명
Time: 54.00s | Score: 134.52 | Status: 선명
Time: 54.50s | Score: 137.32 | Status: 선명
Time: 55.00s | Score: 140.71 | Status: 선명
Time: 55.50s | Score: 128.87 | Status: 선명
Time: 56.00s | Score: 134.30 | Status: 선명
Time: 56.50s | Score: 139.43 | Status: 선명
Time: 57.00s | Score: 116.48 | Status: 선명
Time: 57.50s | Score: 124.78 | Status: 선명
Time: 58.00s | Score: 134.34 | Status: 선명
Time: 58.50s | Score: 138.03 | Status: 선명
Time: 59.00s | Score: 130.41 | Status: 선명
Time: 59.50s | Score: 117.27 | Status: 선명
Time: 60.00s | Score: 125.40 | Status: 선명
Time: 60.50s | Score: 130.77 | Status: 선명
Time: 61.00s | Score: 123.22 | Status: 선명
Time: 61.50s | Score: 146.03 | Status: 선명
Time: 62.00s | Score: 151.51 | Status: 선명
Time: 62.50s | Score: 152.55 | Status: 선명
Time: 63.00s | Score: 150.23 | Status: 선명
Time: 63.50s | Score: 155.73 | Status: 선명
Time: 64.00s | Score: 156.65 | Status: 선명
Time: 64.50s | Score: 151.38 | Status: 선명
Time: 65.00s | Score: 139.02 | Status: 선명
Time: 65.50s | Score: 175.13 | Status: 선명
Time: 66.00s | Score: 129.67 | Status: 선명
Time: 66.50s | Score: 164.08 | Status: 선명
Time: 67.00s | Score: 161.90 | Status: 선명
Time: 67.50s | Score: 165.79 | Status: 선명
Time: 68.00s | Score: 167.58 | Status: 선명
Time: 68.50s | Score: 162.14 | Status: 선명
Time: 69.00s | Score: 157.33 | Status: 선명
Time: 69.50s | Score: 149.63 | Status: 선명
Time: 70.00s | Score: 157.20 | Status: 선명
Time: 70.50s | Score: 161.50 | Status: 선명
Time: 71.00s | Score: 165.00 | Status: 선명
Time: 71.50s | Score: 85.32 | Status: 선명
Time: 72.00s | Score: 172.24 | Status: 선명
Time: 72.50s | Score: 163.71 | Status: 선명
Time: 73.00s | Score: 23.37 | Status: 흐림
Time: 73.50s | Score: 68.53 | Status: 선명
Time: 74.00s | Score: 99.53 | Status: 선명
Time: 74.50s | Score: 121.11 | Status: 선명
Time: 75.00s | Score: 91.47 | Status: 선명
Time: 75.50s | Score: 89.36 | Status: 선명
Time: 76.00s | Score: 99.34 | Status: 선명
Time: 76.50s | Score: 101.15 | Status: 선명
Time: 77.00s | Score: 105.34 | Status: 선명
Time: 77.50s | Score: 102.96 | Status: 선명
Time: 78.00s | Score: 104.54 | Status: 선명
Time: 78.50s | Score: 98.98 | Status: 선명
Time: 79.00s | Score: 104.05 | Status: 선명
Time: 79.50s | Score: 104.62 | Status: 선명
Time: 80.00s | Score: 90.98 | Status: 선명
Time: 80.50s | Score: 104.16 | Status: 선명
Time: 81.00s | Score: 101.94 | Status: 선명
Time: 81.50s | Status: 얼굴 미검출
Time: 82.00s | Score: 97.64 | Status: 선명
Time: 82.50s | Score: 106.60 | Status: 선명
Time: 83.00s | Score: 115.16 | Status: 선명
Time: 83.50s | Score: 102.29 | Status: 선명
Time: 84.00s | Status: 얼굴 미검출
Time: 84.50s | Score: 84.72 | Status: 선명
Time: 85.00s | Score: 101.56 | Status: 선명
Time: 85.50s | Score: 94.22 | Status: 선명
Time: 86.00s | Score: 94.92 | Status: 선명
Time: 86.50s | Score: 95.61 | Status: 선명
Time: 87.00s | Status: 얼굴 미검출
Time: 87.50s | Score: 90.53 | Status: 선명
Time: 88.00s | Score: 72.13 | Status: 선명
Time: 88.50s | Score: 99.35 | Status: 선명
Time: 89.00s | Score: 171.28 | Status: 선명
Time: 89.50s | Score: 131.44 | Status: 선명
Time: 90.00s | Score: 165.21 | Status: 선명
Time: 90.50s | Score: 148.33 | Status: 선명
Time: 91.00s | Score: 154.59 | Status: 선명
Time: 91.50s | Score: 157.08 | Status: 선명
Time: 92.00s | Score: 152.41 | Status: 선명
Time: 92.50s | Score: 159.26 | Status: 선명
Time: 93.00s | Score: 161.48 | Status: 선명
Time: 93.50s | Score: 162.16 | Status: 선명
Time: 94.00s | Score: 157.37 | Status: 선명
Time: 94.50s | Score: 159.12 | Status: 선명
Time: 95.00s | Score: 162.11 | Status: 선명
Time: 95.50s | Score: 158.79 | Status: 선명
Time: 96.00s | Score: 159.08 | Status: 선명
Time: 96.50s | Score: 156.28 | Status: 선명
Time: 97.00s | Score: 159.14 | Status: 선명
Time: 97.50s | Score: 159.31 | Status: 선명
Time: 98.00s | Score: 159.80 | Status: 선명
Time: 98.50s | Score: 159.84 | Status: 선명
Time: 99.00s | Score: 160.08 | Status: 선명
Time: 99.50s | Score: 153.02 | Status: 선명
Time: 100.00s | Score: 152.86 | Status: 선명
Time: 100.50s | Score: 153.28 | Status: 선명
Time: 101.00s | Score: 152.73 | Status: 선명
Time: 101.50s | Score: 144.71 | Status: 선명
Time: 102.00s | Score: 125.44 | Status: 선명
Time: 102.50s | Score: 127.59 | Status: 선명
Time: 103.00s | Score: 231.87 | Status: 선명
Time: 103.50s | Score: 112.19 | Status: 선명
Time: 104.00s | Score: 135.09 | Status: 선명
Time: 104.50s | Score: 120.94 | Status: 선명
Time: 105.00s | Score: 122.71 | Status: 선명
Time: 105.50s | Score: 140.98 | Status: 선명
Time: 106.00s | Score: 146.59 | Status: 선명
Time: 106.50s | Score: 124.05 | Status: 선명
Time: 107.00s | Score: 133.22 | Status: 선명
Time: 107.50s | Score: 138.55 | Status: 선명
Time: 108.00s | Score: 146.80 | Status: 선명
Time: 108.50s | Score: 152.16 | Status: 선명
Time: 109.00s | Score: 151.91 | Status: 선명
Time: 109.50s | Score: 150.54 | Status: 선명
Time: 110.00s | Score: 142.64 | Status: 선명
Time: 110.50s | Score: 149.67 | Status: 선명
Time: 111.00s | Score: 109.45 | Status: 선명
Time: 111.50s | Score: 132.38 | Status: 선명
Time: 112.00s | Score: 148.41 | Status: 선명
Time: 112.50s | Score: 130.43 | Status: 선명
Time: 113.00s | Score: 137.43 | Status: 선명
Time: 113.50s | Score: 129.36 | Status: 선명
Time: 114.00s | Score: 137.63 | Status: 선명
Time: 114.50s | Score: 139.38 | Status: 선명
Time: 115.00s | Score: 139.17 | Status: 선명
Time: 115.50s | Score: 139.77 | Status: 선명
Time: 116.00s | Score: 126.11 | Status: 선명
Time: 116.50s | Score: 139.08 | Status: 선명
Time: 117.00s | Score: 139.72 | Status: 선명
Time: 117.50s | Score: 105.14 | Status: 선명
Time: 118.00s | Score: 147.30 | Status: 선명
Time: 118.50s | Status: 얼굴 미검출
Time: 119.00s | Status: 얼굴 미검출
Time: 119.50s | Status: 얼굴 미검출
Time: 120.00s | Status: 얼굴 미검출
Time: 120.50s | Status: 얼굴 미검출
Time: 121.00s | Status: 얼굴 미검출
Time: 121.50s | Status: 얼굴 미검출
Time: 122.00s | Status: 얼굴 미검출
Time: 122.50s | Status: 얼굴 미검출
Time: 123.00s | Status: 얼굴 미검출
Time: 123.50s | Status: 얼굴 미검출
Time: 124.00s | Score: 106.04 | Status: 선명
Time: 124.50s | Score: 105.17 | Status: 선명
Time: 125.00s | Score: 106.77 | Status: 선명
Time: 125.50s | Score: 110.22 | Status: 선명
Time: 126.00s | Score: 107.38 | Status: 선명
Time: 126.50s | Score: 108.05 | Status: 선명
Time: 127.00s | Score: 109.78 | Status: 선명
Time: 127.50s | Score: 111.45 | Status: 선명
Time: 128.00s | Score: 111.73 | Status: 선명
Time: 128.50s | Score: 110.30 | Status: 선명
Time: 129.00s | Score: 101.21 | Status: 선명
Time: 129.50s | Score: 99.94 | Status: 선명
Time: 130.00s | Score: 99.12 | Status: 선명
Time: 130.50s | Score: 98.69 | Status: 선명
Time: 131.00s | Score: 95.23 | Status: 선명
Time: 131.50s | Score: 99.03 | Status: 선명
Time: 132.00s | Score: 102.21 | Status: 선명
Time: 132.50s | Score: 101.70 | Status: 선명
Time: 133.00s | Score: 96.11 | Status: 선명
Time: 133.50s | Score: 103.77 | Status: 선명
Time: 134.00s | Score: 94.33 | Status: 선명
Time: 134.50s | Score: 96.26 | Status: 선명
Time: 135.00s | Score: 98.74 | Status: 선명
Time: 135.50s | Score: 97.29 | Status: 선명
Time: 136.00s | Score: 97.39 | Status: 선명
Time: 136.50s | Score: 103.24 | Status: 선명
Time: 137.00s | Score: 102.10 | Status: 선명
Time: 137.50s | Score: 104.32 | Status: 선명
Time: 138.00s | Score: 104.58 | Status: 선명
Time: 138.50s | Score: 104.23 | Status: 선명
Time: 139.00s | Score: 103.43 | Status: 선명
Time: 139.50s | Score: 99.83 | Status: 선명
Time: 140.00s | Score: 94.70 | Status: 선명
Time: 140.50s | Score: 103.25 | Status: 선명
Time: 141.00s | Score: 103.57 | Status: 선명
Time: 141.50s | Score: 100.66 | Status: 선명
Time: 142.00s | Score: 101.06 | Status: 선명
Time: 142.50s | Score: 102.59 | Status: 선명
Time: 143.00s | Score: 97.13 | Status: 선명
Time: 143.50s | Score: 105.77 | Status: 선명
Time: 144.00s | Score: 100.83 | Status: 선명
Time: 144.50s | Score: 104.70 | Status: 선명
Time: 145.00s | Score: 102.49 | Status: 선명
Time: 145.50s | Score: 102.65 | Status: 선명
Time: 146.00s | Score: 100.60 | Status: 선명
Time: 146.50s | Score: 96.19 | Status: 선명
Time: 147.00s | Score: 98.89 | Status: 선명
Time: 147.50s | Score: 99.52 | Status: 선명
Time: 148.00s | Score: 102.22 | Status: 선명
Time: 148.50s | Score: 104.22 | Status: 선명
Time: 149.00s | Score: 99.55 | Status: 선명
Time: 149.50s | Score: 103.64 | Status: 선명
Time: 150.00s | Score: 103.58 | Status: 선명
Time: 150.50s | Score: 106.04 | Status: 선명
Time: 151.00s | Score: 102.92 | Status: 선명
Time: 151.50s | Score: 105.20 | Status: 선명
Time: 152.00s | Score: 104.08 | Status: 선명
