[START] 'DTD LIVE Table_0869.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0869_mp4_2025-06-27T03:38:30.659Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Status: 얼굴 미검출
Time: 4.00s | Status: 얼굴 미검출
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Status: 얼굴 미검출
Time: 5.50s | Status: 얼굴 미검출
Time: 6.00s | Status: 얼굴 미검출
Time: 6.50s | Status: 얼굴 미검출
Time: 7.00s | Status: 얼굴 미검출
Time: 7.50s | Status: 얼굴 미검출
Time: 8.00s | Score: 140.25 | Status: 선명
Time: 8.50s | Score: 134.42 | Status: 선명
Time: 9.00s | Score: 139.20 | Status: 선명
Time: 9.50s | Score: 101.04 | Status: 선명
Time: 10.00s | Score: 151.57 | Status: 선명
Time: 10.50s | Score: 143.59 | Status: 선명
Time: 11.00s | Score: 141.59 | Status: 선명
Time: 11.50s | Score: 138.50 | Status: 선명
Time: 12.00s | Score: 135.45 | Status: 선명
Time: 12.50s | Status: 얼굴 미검출
Time: 13.00s | Score: 123.76 | Status: 선명
Time: 13.50s | Score: 127.30 | Status: 선명
Time: 14.00s | Score: 98.83 | Status: 선명
Time: 14.50s | Score: 115.50 | Status: 선명
Time: 15.00s | Score: 125.74 | Status: 선명
Time: 15.50s | Score: 140.88 | Status: 선명
Time: 16.00s | Score: 119.65 | Status: 선명
Time: 16.50s | Score: 166.12 | Status: 선명
Time: 17.00s | Score: 164.09 | Status: 선명
Time: 17.50s | Score: 174.81 | Status: 선명
Time: 18.00s | Score: 159.32 | Status: 선명
Time: 18.50s | Score: 171.18 | Status: 선명
Time: 19.00s | Score: 150.15 | Status: 선명
Time: 19.50s | Score: 173.87 | Status: 선명
Time: 20.00s | Score: 177.68 | Status: 선명
Time: 20.50s | Score: 159.97 | Status: 선명
Time: 21.00s | Score: 153.83 | Status: 선명
Time: 21.50s | Score: 148.59 | Status: 선명
Time: 22.00s | Score: 139.35 | Status: 선명
Time: 22.50s | Score: 148.09 | Status: 선명
Time: 23.00s | Score: 145.02 | Status: 선명
Time: 23.50s | Score: 157.76 | Status: 선명
Time: 24.00s | Score: 150.00 | Status: 선명
Time: 24.50s | Score: 142.93 | Status: 선명
Time: 25.00s | Score: 154.79 | Status: 선명
Time: 25.50s | Score: 124.96 | Status: 선명
Time: 26.00s | Score: 104.03 | Status: 선명
Time: 26.50s | Score: 135.94 | Status: 선명
Time: 27.00s | Score: 236.49 | Status: 선명
Time: 27.50s | Score: 721.59 | Status: 선명
Time: 28.00s | Score: 148.24 | Status: 선명
Time: 28.50s | Score: 473.53 | Status: 선명
Time: 29.00s | Score: 212.87 | Status: 선명
Time: 29.50s | Score: 215.92 | Status: 선명
Time: 30.00s | Score: 229.40 | Status: 선명
Time: 30.50s | Score: 263.45 | Status: 선명
Time: 31.00s | Score: 177.99 | Status: 선명
Time: 31.50s | Score: 297.23 | Status: 선명
Time: 32.00s | Score: 143.73 | Status: 선명
Time: 32.50s | Score: 258.42 | Status: 선명
Time: 33.00s | Score: 202.18 | Status: 선명
Time: 33.50s | Score: 212.01 | Status: 선명
Time: 34.00s | Score: 252.63 | Status: 선명
Time: 34.50s | Score: 209.68 | Status: 선명
Time: 35.00s | Score: 198.05 | Status: 선명
Time: 35.50s | Score: 200.01 | Status: 선명
Time: 36.00s | Score: 270.03 | Status: 선명
Time: 36.50s | Score: 283.54 | Status: 선명
Time: 37.00s | Score: 221.60 | Status: 선명
Time: 37.50s | Score: 299.99 | Status: 선명
Time: 38.00s | Score: 274.73 | Status: 선명
Time: 38.50s | Score: 176.84 | Status: 선명
Time: 39.00s | Score: 182.70 | Status: 선명
Time: 39.50s | Score: 186.79 | Status: 선명
Time: 40.00s | Score: 182.64 | Status: 선명
Time: 40.50s | Status: 얼굴 미검출
Time: 41.00s | Status: 얼굴 미검출
Time: 41.50s | Status: 얼굴 미검출
Time: 42.00s | Score: 142.45 | Status: 선명
Time: 42.50s | Score: 152.87 | Status: 선명
Time: 43.00s | Score: 134.28 | Status: 선명
Time: 43.50s | Score: 113.29 | Status: 선명
Time: 44.00s | Score: 122.58 | Status: 선명
Time: 44.50s | Score: 131.45 | Status: 선명
Time: 45.00s | Score: 132.20 | Status: 선명
Time: 45.50s | Score: 187.31 | Status: 선명
Time: 46.00s | Status: 얼굴 미검출
Time: 46.50s | Score: 201.07 | Status: 선명
Time: 47.00s | Score: 214.79 | Status: 선명
Time: 47.50s | Score: 217.28 | Status: 선명
Time: 48.00s | Score: 233.52 | Status: 선명
Time: 48.50s | Score: 239.68 | Status: 선명
Time: 49.00s | Score: 233.13 | Status: 선명
Time: 49.50s | Score: 240.40 | Status: 선명
