[START] 'DTD LIVE Table_0858.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0858_mp4_2025-06-27T03:27:35.745Z)
Time: 62.50s | Score: 138.01 | Status: 선명
Time: 63.00s | Score: 18.42 | Status: 흐림
Time: 63.50s | Score: 201.49 | Status: 선명
Time: 64.00s | Score: 203.20 | Status: 선명
Time: 64.50s | Score: 216.87 | Status: 선명
Time: 65.00s | Score: 290.86 | Status: 선명
Time: 65.50s | Score: 235.94 | Status: 선명
Time: 66.00s | Score: 247.07 | Status: 선명
Time: 66.50s | Status: 얼굴 미검출
Time: 67.00s | Status: 얼굴 미검출
Time: 67.50s | Status: 얼굴 미검출
Time: 68.00s | Status: 얼굴 미검출
Time: 68.50s | Status: 얼굴 미검출
Time: 69.00s | Status: 얼굴 미검출
Time: 69.50s | Status: 얼굴 미검출
Time: 70.00s | Status: 얼굴 미검출
Time: 70.50s | Score: 228.77 | Status: 선명
Time: 71.00s | Score: 251.29 | Status: 선명
Time: 71.50s | Score: 237.22 | Status: 선명
Time: 72.00s | Score: 239.97 | Status: 선명
Time: 72.50s | Score: 230.20 | Status: 선명
Time: 73.00s | Score: 239.87 | Status: 선명
Time: 73.50s | Score: 244.88 | Status: 선명
Time: 74.00s | Score: 242.85 | Status: 선명
Time: 74.50s | Score: 278.79 | Status: 선명
Time: 75.00s | Score: 276.19 | Status: 선명
Time: 75.50s | Score: 274.57 | Status: 선명
Time: 76.00s | Score: 279.00 | Status: 선명
Time: 76.50s | Score: 279.73 | Status: 선명
Time: 77.00s | Score: 291.31 | Status: 선명
Time: 77.50s | Score: 271.89 | Status: 선명
Time: 78.00s | Score: 269.42 | Status: 선명
Time: 78.50s | Score: 276.94 | Status: 선명
Time: 79.00s | Score: 282.10 | Status: 선명
Time: 79.50s | Score: 275.03 | Status: 선명
Time: 80.00s | Score: 273.77 | Status: 선명
Time: 80.50s | Score: 269.86 | Status: 선명
Time: 81.00s | Score: 273.45 | Status: 선명
Time: 81.50s | Score: 272.00 | Status: 선명
Time: 82.00s | Score: 288.70 | Status: 선명
Time: 82.50s | Score: 285.13 | Status: 선명
Time: 83.00s | Score: 273.22 | Status: 선명
Time: 83.50s | Score: 275.69 | Status: 선명
Time: 84.00s | Score: 273.85 | Status: 선명
Time: 84.50s | Score: 282.06 | Status: 선명
Time: 85.00s | Score: 285.06 | Status: 선명
Time: 85.50s | Score: 289.74 | Status: 선명
Time: 86.00s | Score: 286.06 | Status: 선명
Time: 86.50s | Score: 290.59 | Status: 선명
Time: 87.00s | Score: 289.25 | Status: 선명
Time: 87.50s | Score: 296.18 | Status: 선명
Time: 88.00s | Score: 284.36 | Status: 선명
Time: 88.50s | Score: 244.77 | Status: 선명
Time: 89.00s | Score: 189.92 | Status: 선명
Time: 89.50s | Score: 183.26 | Status: 선명
Time: 90.00s | Score: 209.19 | Status: 선명
Time: 90.50s | Score: 198.78 | Status: 선명
Time: 91.00s | Score: 236.52 | Status: 선명
Time: 91.50s | Score: 268.69 | Status: 선명
Time: 92.00s | Score: 51.22 | Status: 선명
Time: 92.50s | Status: 얼굴 미검출
Time: 93.00s | Status: 얼굴 미검출
Time: 93.50s | Status: 얼굴 미검출
Time: 94.00s | Status: 얼굴 미검출
Time: 94.50s | Score: 235.74 | Status: 선명
Time: 95.00s | Score: 253.38 | Status: 선명
Time: 95.50s | Score: 266.17 | Status: 선명
Time: 96.00s | Score: 245.24 | Status: 선명
Time: 96.50s | Score: 225.25 | Status: 선명
Time: 97.00s | Score: 232.23 | Status: 선명
Time: 97.50s | Score: 255.66 | Status: 선명
Time: 98.00s | Score: 260.25 | Status: 선명
Time: 98.50s | Score: 258.49 | Status: 선명
Time: 99.00s | Score: 247.41 | Status: 선명
Time: 99.50s | Score: 252.74 | Status: 선명
Time: 100.00s | Score: 254.89 | Status: 선명
Time: 100.50s | Score: 240.45 | Status: 선명
Time: 101.00s | Score: 237.81 | Status: 선명
Time: 101.50s | Score: 220.14 | Status: 선명
Time: 102.00s | Score: 225.92 | Status: 선명
Time: 102.50s | Score: 216.44 | Status: 선명
Time: 103.00s | Score: 230.54 | Status: 선명
Time: 103.50s | Score: 225.44 | Status: 선명
Time: 104.00s | Score: 231.00 | Status: 선명
Time: 104.50s | Score: 309.45 | Status: 선명
Time: 105.00s | Score: 302.07 | Status: 선명
Time: 105.50s | Score: 268.12 | Status: 선명
Time: 106.00s | Score: 210.52 | Status: 선명
Time: 106.50s | Score: 230.12 | Status: 선명
Time: 107.00s | Score: 220.74 | Status: 선명
Time: 107.50s | Score: 254.88 | Status: 선명
Time: 108.00s | Score: 243.88 | Status: 선명
Time: 108.50s | Score: 230.12 | Status: 선명
Time: 109.00s | Score: 250.94 | Status: 선명
Time: 109.50s | Score: 245.47 | Status: 선명
Time: 110.00s | Score: 241.93 | Status: 선명
Time: 110.50s | Score: 262.81 | Status: 선명
Time: 111.00s | Score: 262.30 | Status: 선명
Time: 111.50s | Score: 256.30 | Status: 선명
Time: 112.00s | Score: 249.70 | Status: 선명
Time: 112.50s | Score: 239.83 | Status: 선명
