[START] 'DTD LIVE Table_0859.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0859_mp4_2025-06-27T03:31:45.258Z)
Time: 0.00s | Status: 얼굴 미검출
Time: 0.50s | Status: 얼굴 미검출
Time: 1.00s | Status: 얼굴 미검출
Time: 1.50s | Status: 얼굴 미검출
Time: 2.00s | Status: 얼굴 미검출
Time: 2.50s | Status: 얼굴 미검출
Time: 3.00s | Status: 얼굴 미검출
Time: 3.50s | Score: 109.23 | Status: 선명
Time: 4.00s | Score: 120.81 | Status: 선명
Time: 4.50s | Score: 140.59 | Status: 선명
Time: 5.00s | Score: 134.88 | Status: 선명
Time: 5.50s | Score: 136.60 | Status: 선명
Time: 6.00s | Score: 139.20 | Status: 선명
Time: 6.50s | Score: 97.62 | Status: 선명
Time: 7.00s | Score: 120.41 | Status: 선명
Time: 7.50s | Score: 135.01 | Status: 선명
Time: 8.00s | Score: 81.40 | Status: 선명
Time: 8.50s | Score: 86.12 | Status: 선명
Time: 9.00s | Score: 119.51 | Status: 선명
Time: 9.50s | Score: 105.73 | Status: 선명
Time: 10.00s | Score: 110.17 | Status: 선명
Time: 10.50s | Score: 91.14 | Status: 선명
Time: 11.00s | Score: 103.85 | Status: 선명
Time: 11.50s | Score: 124.98 | Status: 선명
Time: 12.00s | Score: 138.36 | Status: 선명
Time: 12.50s | Score: 132.86 | Status: 선명
Time: 13.00s | Score: 103.48 | Status: 선명
Time: 13.50s | Score: 109.66 | Status: 선명
Time: 14.00s | Score: 156.69 | Status: 선명
Time: 14.50s | Score: 165.95 | Status: 선명
Time: 15.00s | Score: 161.28 | Status: 선명
Time: 15.50s | Score: 162.62 | Status: 선명
Time: 16.00s | Score: 162.47 | Status: 선명
Time: 16.50s | Score: 160.76 | Status: 선명
Time: 17.00s | Score: 167.08 | Status: 선명
Time: 17.50s | Score: 169.59 | Status: 선명
Time: 18.00s | Score: 158.55 | Status: 선명
Time: 18.50s | Score: 169.91 | Status: 선명
Time: 19.00s | Score: 172.61 | Status: 선명
Time: 19.50s | Score: 168.60 | Status: 선명
Time: 20.00s | Score: 161.17 | Status: 선명
Time: 20.50s | Score: 170.21 | Status: 선명
Time: 21.00s | Score: 173.31 | Status: 선명
Time: 21.50s | Score: 155.92 | Status: 선명
Time: 22.00s | Score: 161.40 | Status: 선명
Time: 22.50s | Score: 161.39 | Status: 선명
Time: 23.00s | Score: 146.29 | Status: 선명
Time: 23.50s | Score: 107.76 | Status: 선명
Time: 24.00s | Score: 107.58 | Status: 선명
Time: 24.50s | Score: 128.81 | Status: 선명
Time: 25.00s | Score: 148.50 | Status: 선명
Time: 25.50s | Score: 149.74 | Status: 선명
Time: 26.00s | Score: 130.00 | Status: 선명
Time: 26.50s | Score: 129.96 | Status: 선명
Time: 27.00s | Score: 126.86 | Status: 선명
Time: 27.50s | Score: 128.03 | Status: 선명
Time: 28.00s | Score: 177.82 | Status: 선명
Time: 28.50s | Score: 178.83 | Status: 선명
Time: 29.00s | Score: 141.94 | Status: 선명
Time: 29.50s | Score: 172.54 | Status: 선명
Time: 30.00s | Score: 166.30 | Status: 선명
Time: 30.50s | Score: 49.91 | Status: 흐림
Time: 31.00s | Score: 93.58 | Status: 선명
Time: 31.50s | Score: 41.28 | Status: 흐림
Time: 32.00s | Score: 101.67 | Status: 선명
Time: 32.50s | Score: 106.78 | Status: 선명
Time: 33.00s | Score: 127.05 | Status: 선명
Time: 33.50s | Score: 158.72 | Status: 선명
Time: 34.00s | Score: 171.33 | Status: 선명
Time: 34.50s | Score: 161.85 | Status: 선명
Time: 35.00s | Score: 168.06 | Status: 선명
Time: 35.50s | Score: 161.38 | Status: 선명
Time: 36.00s | Score: 162.17 | Status: 선명
Time: 36.50s | Score: 164.43 | Status: 선명
Time: 37.00s | Score: 162.13 | Status: 선명
Time: 37.50s | Score: 152.82 | Status: 선명
Time: 38.00s | Score: 165.55 | Status: 선명
Time: 38.50s | Score: 159.80 | Status: 선명
Time: 39.00s | Score: 163.03 | Status: 선명
Time: 39.50s | Score: 153.79 | Status: 선명
Time: 40.00s | Score: 162.54 | Status: 선명
Time: 40.50s | Score: 161.04 | Status: 선명
Time: 41.00s | Score: 164.23 | Status: 선명
Time: 41.50s | Score: 162.54 | Status: 선명
Time: 42.00s | Score: 166.78 | Status: 선명
Time: 42.50s | Score: 158.62 | Status: 선명
Time: 43.00s | Score: 152.23 | Status: 선명
Time: 43.50s | Score: 151.52 | Status: 선명
Time: 44.00s | Score: 157.75 | Status: 선명
Time: 44.50s | Score: 344.55 | Status: 선명
Time: 45.00s | Score: 269.73 | Status: 선명
Time: 45.50s | Score: 250.11 | Status: 선명
Time: 46.00s | Score: 297.43 | Status: 선명
Time: 46.50s | Score: 334.38 | Status: 선명
Time: 47.00s | Score: 244.54 | Status: 선명
Time: 47.50s | Score: 221.56 | Status: 선명
Time: 48.00s | Score: 257.55 | Status: 선명
Time: 48.50s | Score: 250.74 | Status: 선명
Time: 49.00s | Score: 351.28 | Status: 선명
Time: 49.50s | Score: 426.79 | Status: 선명
Time: 50.00s | Score: 243.65 | Status: 선명
Time: 50.50s | Score: 220.97 | Status: 선명
Time: 51.00s | Score: 236.77 | Status: 선명
Time: 51.50s | Score: 305.10 | Status: 선명
Time: 52.00s | Score: 309.64 | Status: 선명
Time: 52.50s | Score: 275.80 | Status: 선명
Time: 53.00s | Score: 283.01 | Status: 선명
Time: 53.50s | Score: 328.60 | Status: 선명
Time: 54.00s | Score: 311.58 | Status: 선명
Time: 54.50s | Score: 251.40 | Status: 선명
Time: 55.00s | Score: 260.54 | Status: 선명
Time: 55.50s | Score: 277.04 | Status: 선명
Time: 56.00s | Score: 278.35 | Status: 선명
Time: 56.50s | Score: 265.18 | Status: 선명
Time: 57.00s | Score: 219.53 | Status: 선명
Time: 57.50s | Score: 261.07 | Status: 선명
Time: 58.00s | Score: 132.32 | Status: 선명
Time: 58.50s | Score: 307.71 | Status: 선명
Time: 59.00s | Score: 134.22 | Status: 선명
Time: 59.50s | Score: 275.60 | Status: 선명
Time: 60.00s | Score: 155.23 | Status: 선명
Time: 60.50s | Score: 131.74 | Status: 선명
Time: 61.00s | Status: 얼굴 미검출
Time: 61.50s | Score: 168.26 | Status: 선명
Time: 62.00s | Score: 170.21 | Status: 선명
Time: 62.50s | Score: 171.22 | Status: 선명
Time: 63.00s | Score: 158.63 | Status: 선명
Time: 63.50s | Score: 144.56 | Status: 선명
Time: 64.00s | Status: 얼굴 미검출
Time: 64.50s | Score: 129.16 | Status: 선명
Time: 65.00s | Score: 131.45 | Status: 선명
Time: 65.50s | Score: 139.51 | Status: 선명
Time: 66.00s | Score: 129.32 | Status: 선명
Time: 66.50s | Score: 125.03 | Status: 선명
Time: 67.00s | Score: 140.59 | Status: 선명
Time: 67.50s | Score: 155.84 | Status: 선명
Time: 68.00s | Score: 163.17 | Status: 선명
Time: 68.50s | Score: 152.46 | Status: 선명
Time: 69.00s | Score: 108.81 | Status: 선명
Time: 69.50s | Score: 219.38 | Status: 선명
Time: 70.00s | Score: 228.16 | Status: 선명
Time: 70.50s | Score: 254.81 | Status: 선명
Time: 71.00s | Score: 249.66 | Status: 선명
Time: 71.50s | Score: 236.23 | Status: 선명
Time: 72.00s | Score: 116.95 | Status: 선명
Time: 72.50s | Score: 105.53 | Status: 선명
Time: 73.00s | Score: 252.26 | Status: 선명
Time: 73.50s | Status: 얼굴 미검출
Time: 74.00s | Score: 74.35 | Status: 선명
Time: 74.50s | Score: 73.26 | Status: 선명
Time: 75.00s | Score: 64.80 | Status: 선명
Time: 75.50s | Score: 77.06 | Status: 선명
Time: 76.00s | Score: 72.27 | Status: 선명
Time: 76.50s | Score: 72.36 | Status: 선명
Time: 77.00s | Score: 76.42 | Status: 선명
Time: 77.50s | Score: 76.61 | Status: 선명
Time: 78.00s | Score: 73.24 | Status: 선명
Time: 78.50s | Status: 얼굴 미검출
Time: 79.00s | Score: 94.26 | Status: 선명
Time: 79.50s | Score: 94.30 | Status: 선명
Time: 80.00s | Score: 98.55 | Status: 선명
Time: 80.50s | Score: 87.44 | Status: 선명
Time: 81.00s | Score: 98.65 | Status: 선명
Time: 81.50s | Score: 126.65 | Status: 선명
Time: 82.00s | Score: 112.98 | Status: 선명
Time: 82.50s | Score: 113.08 | Status: 선명
Time: 83.00s | Status: 얼굴 미검출
Time: 83.50s | Status: 얼굴 미검출
Time: 84.00s | Score: 133.47 | Status: 선명
Time: 84.50s | Score: 136.54 | Status: 선명
Time: 85.00s | Score: 153.12 | Status: 선명
Time: 85.50s | Score: 183.31 | Status: 선명
Time: 86.00s | Score: 218.52 | Status: 선명
Time: 86.50s | Score: 190.78 | Status: 선명
Time: 87.00s | Score: 195.38 | Status: 선명
Time: 87.50s | Score: 196.48 | Status: 선명
Time: 88.00s | Score: 200.51 | Status: 선명
Time: 88.50s | Score: 193.65 | Status: 선명
Time: 89.00s | Score: 197.57 | Status: 선명
Time: 89.50s | Score: 201.98 | Status: 선명
Time: 90.00s | Score: 204.98 | Status: 선명
Time: 90.50s | Score: 200.23 | Status: 선명
Time: 91.00s | Score: 206.98 | Status: 선명
Time: 91.50s | Score: 208.85 | Status: 선명
Time: 92.00s | Score: 207.32 | Status: 선명
Time: 92.50s | Status: 얼굴 미검출
Time: 93.00s | Score: 80.76 | Status: 선명
Time: 93.50s | Score: 89.42 | Status: 선명
Time: 94.00s | Score: 112.73 | Status: 선명
Time: 94.50s | Score: 155.68 | Status: 선명
Time: 95.00s | Score: 169.62 | Status: 선명
Time: 95.50s | Score: 204.95 | Status: 선명
Time: 96.00s | Score: 174.64 | Status: 선명
Time: 96.50s | Status: 얼굴 미검출
Time: 97.00s | Score: 193.02 | Status: 선명
Time: 97.50s | Score: 194.94 | Status: 선명
Time: 98.00s | Score: 185.74 | Status: 선명
