[START] 'DTD LIVE Table_0885.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0885_mp4_2025-06-27T04:10:55.111Z)
Time: 0.00s | Score: 232.75 | Status: 선명
Time: 0.50s | Score: 241.12 | Status: 선명
Time: 1.00s | Score: 268.41 | Status: 선명
Time: 1.50s | Score: 283.57 | Status: 선명
Time: 2.00s | Score: 259.72 | Status: 선명
Time: 2.50s | Score: 270.63 | Status: 선명
Time: 3.00s | Score: 137.33 | Status: 선명
Time: 3.50s | Score: 301.21 | Status: 선명
Time: 4.00s | Score: 319.20 | Status: 선명
Time: 4.50s | Status: 얼굴 미검출
Time: 5.00s | Score: 259.93 | Status: 선명
Time: 5.50s | Score: 231.28 | Status: 선명
Time: 6.00s | Score: 258.84 | Status: 선명
Time: 6.50s | Score: 230.75 | Status: 선명
Time: 7.00s | Score: 254.62 | Status: 선명
Time: 7.50s | Score: 113.40 | Status: 선명
Time: 8.00s | Score: 142.95 | Status: 선명
Time: 8.50s | Score: 254.69 | Status: 선명
Time: 9.00s | Score: 285.47 | Status: 선명
Time: 9.50s | Score: 274.87 | Status: 선명
Time: 10.00s | Score: 148.52 | Status: 선명
Time: 10.50s | Score: 123.12 | Status: 선명
Time: 11.00s | Score: 145.96 | Status: 선명
Time: 11.50s | Score: 150.99 | Status: 선명
Time: 12.00s | Score: 129.39 | Status: 선명
Time: 12.50s | Score: 135.11 | Status: 선명
Time: 13.00s | Score: 151.88 | Status: 선명
Time: 13.50s | Score: 149.05 | Status: 선명
Time: 14.00s | Score: 150.98 | Status: 선명
Time: 14.50s | Score: 152.01 | Status: 선명
Time: 15.00s | Score: 163.44 | Status: 선명
Time: 15.50s | Score: 152.11 | Status: 선명
Time: 16.00s | Score: 150.37 | Status: 선명
Time: 16.50s | Score: 161.60 | Status: 선명
Time: 17.00s | Score: 141.98 | Status: 선명
Time: 17.50s | Score: 139.61 | Status: 선명
Time: 18.00s | Score: 149.78 | Status: 선명
Time: 18.50s | Score: 93.01 | Status: 선명
Time: 19.00s | Score: 144.34 | Status: 선명
Time: 19.50s | Score: 119.12 | Status: 선명
Time: 20.00s | Score: 99.91 | Status: 선명
Time: 20.50s | Score: 148.02 | Status: 선명
Time: 21.00s | Score: 141.29 | Status: 선명
Time: 21.50s | Score: 99.30 | Status: 선명
Time: 22.00s | Score: 135.80 | Status: 선명
Time: 22.50s | Score: 97.21 | Status: 선명
Time: 23.00s | Score: 104.80 | Status: 선명
Time: 23.50s | Score: 97.14 | Status: 선명
Time: 24.00s | Score: 114.00 | Status: 선명
Time: 24.50s | Score: 185.96 | Status: 선명
Time: 25.00s | Score: 202.17 | Status: 선명
Time: 25.50s | Score: 192.54 | Status: 선명
Time: 26.00s | Score: 192.29 | Status: 선명
Time: 26.50s | Score: 201.18 | Status: 선명
Time: 27.00s | Score: 123.70 | Status: 선명
Time: 27.50s | Score: 118.34 | Status: 선명
Time: 28.00s | Score: 112.47 | Status: 선명
Time: 28.50s | Score: 121.59 | Status: 선명
Time: 29.00s | Score: 109.96 | Status: 선명
Time: 29.50s | Score: 112.03 | Status: 선명
Time: 30.00s | Score: 112.89 | Status: 선명
Time: 30.50s | Score: 123.05 | Status: 선명
Time: 31.00s | Score: 143.31 | Status: 선명
Time: 31.50s | Score: 117.46 | Status: 선명
Time: 32.00s | Score: 107.38 | Status: 선명
Time: 32.50s | Score: 114.08 | Status: 선명
Time: 33.00s | Score: 97.50 | Status: 선명
Time: 33.50s | Score: 116.13 | Status: 선명
Time: 34.00s | Score: 111.27 | Status: 선명
Time: 34.50s | Score: 135.42 | Status: 선명
Time: 35.00s | Score: 129.57 | Status: 선명
Time: 35.50s | Score: 111.72 | Status: 선명
Time: 36.00s | Score: 141.44 | Status: 선명
Time: 36.50s | Score: 143.87 | Status: 선명
Time: 37.00s | Score: 141.73 | Status: 선명
Time: 37.50s | Score: 141.39 | Status: 선명
Time: 38.00s | Score: 135.43 | Status: 선명
Time: 38.50s | Score: 132.25 | Status: 선명
Time: 39.00s | Score: 138.23 | Status: 선명
Time: 39.50s | Score: 138.79 | Status: 선명
Time: 40.00s | Score: 341.55 | Status: 선명
Time: 40.50s | Score: 249.40 | Status: 선명
Time: 41.00s | Score: 1473.38 | Status: 선명
Time: 41.50s | Score: 1107.96 | Status: 선명
Time: 42.00s | Score: 1016.87 | Status: 선명
Time: 42.50s | Score: 1078.67 | Status: 선명
Time: 43.00s | Score: 269.73 | Status: 선명
Time: 43.50s | Score: 321.18 | Status: 선명
Time: 44.00s | Score: 211.50 | Status: 선명
Time: 44.50s | Score: 275.09 | Status: 선명
Time: 45.00s | Score: 331.14 | Status: 선명
Time: 45.50s | Score: 281.30 | Status: 선명
Time: 46.00s | Score: 419.03 | Status: 선명
Time: 46.50s | Score: 420.42 | Status: 선명
Time: 47.00s | Score: 551.44 | Status: 선명
Time: 47.50s | Status: 얼굴 미검출
Time: 48.00s | Score: 852.44 | Status: 선명
Time: 48.50s | Status: 얼굴 미검출
Time: 49.00s | Score: 692.48 | Status: 선명
Time: 49.50s | Score: 134.63 | Status: 선명
Time: 50.00s | Score: 170.15 | Status: 선명
Time: 50.50s | Score: 181.44 | Status: 선명
Time: 51.00s | Score: 173.68 | Status: 선명
Time: 51.50s | Score: 204.97 | Status: 선명
Time: 52.00s | Score: 169.96 | Status: 선명
