[START] 'LUXON Table_0726.mp4' 분석을 시작합니다. (ID: LUXON_Table_0726_mp4_2025-06-27T09:23:46.556Z)
Time: 71.50s | Score: 191.28 | Status: 선명
Time: 72.00s | Score: 193.01 | Status: 선명
Time: 72.50s | Score: 160.22 | Status: 선명
Time: 73.00s | Score: 214.81 | Status: 선명
Time: 73.50s | Score: 187.51 | Status: 선명
Time: 74.00s | Status: 미검출
Time: 74.50s | Status: 미검출
Time: 75.00s | Status: 미검출
Time: 75.50s | Status: 미검출
Time: 76.00s | Score: 38.22 | Status: 흐림 (문제 감지: 미검출 → 흐림)
Time: 76.50s | Score: 46.47 | Status: 흐림
Time: 77.00s | Score: 51.00 | Status: 선명
Time: 77.50s | Score: 50.27 | Status: 선명
Time: 78.00s | Score: 45.62 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 78.50s | Score: 47.92 | Status: 흐림
Time: 79.00s | Score: 47.81 | Status: 흐림
Time: 79.50s | Score: 40.75 | Status: 흐림
Time: 80.00s | Score: 38.89 | Status: 흐림
Time: 80.50s | Score: 44.34 | Status: 흐림
Time: 81.00s | Score: 56.76 | Status: 선명
Time: 81.50s | Score: 54.43 | Status: 선명
Time: 82.00s | Score: 56.10 | Status: 선명
Time: 82.50s | Score: 138.18 | Status: 선명
Time: 83.00s | Score: 143.52 | Status: 선명
Time: 83.50s | Score: 158.65 | Status: 선명
Time: 84.00s | Score: 141.14 | Status: 선명
Time: 84.50s | Score: 106.16 | Status: 선명
Time: 85.00s | Score: 53.96 | Status: 선명
Time: 85.50s | Status: 미검출
Time: 86.00s | Score: 69.37 | Status: 선명
Time: 86.50s | Score: 65.76 | Status: 선명
Time: 87.00s | Score: 65.58 | Status: 선명
Time: 87.50s | Score: 74.25 | Status: 선명
Time: 88.00s | Score: 71.93 | Status: 선명
Time: 88.50s | Score: 77.44 | Status: 선명
Time: 89.00s | Score: 66.54 | Status: 선명
Time: 89.50s | Score: 53.90 | Status: 선명
Time: 90.00s | Status: 미검출
Time: 90.50s | Status: 미검출
Time: 91.00s | Status: 미검출
Time: 91.50s | Status: 미검출
Time: 92.00s | Status: 미검출
Time: 92.50s | Score: 181.87 | Status: 선명
Time: 93.00s | Status: 미검출
Time: 93.50s | Status: 미검출
Time: 94.00s | Status: 미검출
Time: 94.50s | Status: 미검출
Time: 95.00s | Status: 미검출
Time: 95.50s | Status: 미검출
Time: 96.00s | Status: 미검출
Time: 96.50s | Status: 미검출
Time: 97.00s | Status: 미검출
Time: 97.50s | Status: 미검출
Time: 98.00s | Status: 미검출
Time: 98.50s | Status: 미검출
Time: 99.00s | Status: 미검출
Time: 99.50s | Status: 미검출
Time: 100.00s | Status: 미검출
Time: 100.50s | Status: 미검출
Time: 101.00s | Status: 미검출
Time: 101.50s | Status: 미검출
Time: 102.00s | Score: 78.07 | Status: 선명
Time: 102.50s | Score: 81.00 | Status: 선명
Time: 103.00s | Score: 63.01 | Status: 선명
Time: 103.50s | Score: 67.04 | Status: 선명
Time: 104.00s | Score: 66.54 | Status: 선명
Time: 104.50s | Score: 67.25 | Status: 선명
Time: 105.00s | Score: 60.31 | Status: 선명
Time: 105.50s | Score: 92.11 | Status: 선명
Time: 106.00s | Score: 284.55 | Status: 선명
Time: 106.50s | Score: 43.90 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 107.00s | Score: 62.04 | Status: 선명
Time: 107.50s | Score: 79.71 | Status: 선명
Time: 108.00s | Score: 67.96 | Status: 선명
Time: 108.50s | Score: 86.94 | Status: 선명
Time: 109.00s | Score: 71.69 | Status: 선명
Time: 109.50s | Score: 25.06 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 110.00s | Score: 35.03 | Status: 흐림
Time: 110.50s | Score: 80.00 | Status: 선명
Time: 111.00s | Score: 118.02 | Status: 선명
Time: 111.50s | Score: 122.18 | Status: 선명
Time: 112.00s | Score: 97.21 | Status: 선명
Time: 112.50s | Score: 101.81 | Status: 선명
Time: 113.00s | Score: 69.95 | Status: 선명
Time: 113.50s | Score: 66.00 | Status: 선명
Time: 114.00s | Score: 70.99 | Status: 선명
Time: 114.50s | Score: 66.61 | Status: 선명
Time: 115.00s | Score: 65.58 | Status: 선명
Time: 115.50s | Score: 73.28 | Status: 선명
Time: 116.00s | Score: 70.88 | Status: 선명
Time: 116.50s | Score: 76.00 | Status: 선명
Time: 117.00s | Score: 75.07 | Status: 선명
Time: 117.50s | Score: 67.06 | Status: 선명
Time: 118.00s | Score: 79.09 | Status: 선명
Time: 118.50s | Score: 74.26 | Status: 선명
Time: 119.00s | Score: 69.08 | Status: 선명
Time: 119.50s | Score: 64.63 | Status: 선명
Time: 120.00s | Status: 미검출
Time: 120.50s | Status: 미검출
Time: 121.00s | Status: 미검출
Time: 121.50s | Status: 미검출
Time: 122.00s | Status: 미검출
Time: 122.50s | Status: 미검출
Time: 123.00s | Status: 미검출
Time: 123.50s | Status: 미검출
Time: 124.00s | Status: 미검출
Time: 124.50s | Status: 미검출
Time: 125.00s | Score: 216.30 | Status: 선명
Time: 125.50s | Status: 미검출
Time: 126.00s | Status: 미검출
Time: 126.50s | Status: 미검출
Time: 127.00s | Status: 미검출
Time: 127.50s | Score: 162.34 | Status: 선명
Time: 128.00s | Score: 158.86 | Status: 선명
Time: 128.50s | Score: 155.93 | Status: 선명
Time: 129.00s | Score: 149.16 | Status: 선명
Time: 129.50s | Score: 154.39 | Status: 선명
Time: 130.00s | Score: 157.33 | Status: 선명
Time: 130.50s | Score: 150.63 | Status: 선명
Time: 131.00s | Score: 154.08 | Status: 선명
Time: 131.50s | Score: 88.76 | Status: 선명
Time: 132.00s | Score: 90.37 | Status: 선명
Time: 132.50s | Score: 98.41 | Status: 선명
Time: 133.00s | Status: 미검출
Time: 133.50s | Score: 100.75 | Status: 선명
Time: 134.00s | Score: 97.29 | Status: 선명
Time: 134.50s | Score: 93.23 | Status: 선명
Time: 135.00s | Status: 미검출
Time: 135.50s | Status: 미검출
Time: 136.00s | Status: 미검출
Time: 136.50s | Status: 미검출
Time: 137.00s | Status: 미검출
Time: 137.50s | Status: 미검출
Time: 138.00s | Status: 미검출
Time: 138.50s | Status: 미검출
Time: 139.00s | Status: 미검출
Time: 139.50s | Status: 미검출
Time: 140.00s | Status: 미검출
Time: 140.50s | Score: 130.29 | Status: 선명
Time: 141.00s | Score: 97.50 | Status: 선명
Time: 141.50s | Score: 46.21 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 142.00s | Score: 35.01 | Status: 흐림
Time: 142.50s | Status: 미검출
Time: 143.00s | Score: 57.95 | Status: 선명
Time: 143.50s | Status: 미검출
Time: 144.00s | Status: 미검출
Time: 144.50s | Status: 미검출
Time: 145.00s | Status: 미검출
Time: 145.50s | Status: 미검출
Time: 146.00s | Status: 미검출
Time: 146.50s | Status: 미검출
Time: 147.00s | Status: 미검출
Time: 147.50s | Status: 미검출
Time: 148.00s | Status: 미검출
Time: 148.50s | Score: 101.77 | Status: 선명
Time: 149.00s | Score: 37.15 | Status: 흐림 (문제 감지: 선명 → 흐림)
Time: 149.50s | Score: 96.06 | Status: 선명
Time: 150.00s | Score: 102.79 | Status: 선명
Time: 150.50s | Status: 미검출
Time: 151.00s | Status: 미검출
Time: 151.50s | Score: 28.79 | Status: 흐림 (문제 감지: 미검출 → 흐림)
Time: 152.00s | Score: 11.90 | Status: 흐림
Time: 152.50s | Status: 미검출
Time: 153.00s | Status: 미검출
Time: 153.50s | Status: 미검출
Time: 154.00s | Status: 미검출
Time: 154.50s | Status: 미검출
Time: 155.00s | Score: 13.15 | Status: 흐림 (문제 감지: 미검출 → 흐림)
Time: 155.50s | Status: 미검출
Time: 156.00s | Score: 19.47 | Status: 흐림 (문제 감지: 미검출 → 흐림)
Time: 156.50s | Status: 미검출
Time: 157.00s | Status: 미검출
Time: 157.50s | Status: 미검출
